model,.metric,mean,std_err
Baseline (training mean),rmse,0.9896377010630476,NA
Linear Regression,mae,0.7561745599124077,0.03354435616450252
Linear Regression,rmse,0.9600639325239902,0.06092101526105591
Linear Regression,rsq,0.21626401556605565,0.04002397410540467
Lasso,mae,0.7070612246167532,0.018488773388972413
Lasso,rmse,0.8612031140266339,0.01676651530635895
Lasso,rsq,0.2824481321635778,0.03784112897469365
Random Forest,mae,0.6640764197006287,0.016232231548434152
Random Forest,rmse,0.8339901457669854,0.017880752123063975
Random Forest,rsq,0.30573791805899253,0.02262308836722778
