Variable,Importance
gdp_constant_usd,189.3350923488686
age_dependency_old,68.28701104562292
season_Winter,53.48607685874443
population_total,35.00841582291578
vulnerable_employment,14.526642195190862
government_consumption,12.363040550929515
fertility_rate,11.028809717584254
private_credit,10.725342041056804
population_growth,10.011522738055843
age_dependency_young,9.911681438540022
gdp_ppp,9.636168264072838
forest_area,9.635479268566451
labor_force_female,9.272292323674412
government_education_spending,7.185640904468185
government_revenue,7.094123735796034
broad_money,6.345024381151604
tax_revenue,6.036759335896968
money_growth,5.828061343799039
household_consumption,5.704148707662759
gdp_deflator,5.277160572591184
fdi_outflow,5.271634943458794
gross_savings,5.197033292917181
physicians,5.152448447523426
employment_to_population,4.861027349458903
hospital_beds,4.854967023641668
dependency_ratio,4.587258933385321
portfolio_inflow,4.501297744465458
final_consumption,4.2515784180978065
renewable_energy,4.2322492530854765
labor_force_total,4.202666531124515
imports_goods_services,4.1908380110325565
cpi_all_items,4.078116466363695
energy_use,4.0225551708996985
gross_capital_formation,4.005931409214115
fdi_inflow,3.7159594500111126
youth_unemployment,3.5214326952714385
exports_goods_services,3.440032073105333
government_expenditure,3.3374122396606056
rural_population,3.150865517665919
immunization_dpt,3.0904571238868352
urban_population,3.0682899438448645
primary_enrollment,2.969452055073908
unemployment_female,2.9295786510195505
education_spending,2.913225643533521
trade_openness,2.892892841136337
life_expectancy_female,2.844798376911424
health_expenditure,2.7118360136527637
life_expectancy_male,2.69270681974312
unemployment_total,2.3392813485569204
immunization_measles,2.335621419578712
unemployment_male,2.2548999542412003
secondary_enrollment,2.1826679181054205
tertiary_enrollment,2.1547972541541056
life_expectancy,2.0784956534048433
gdp_per_capita_ppp,2.033969299462639
infant_mortality,1.7659216724616675
child_mortality,0.9992219743668167
electricity_access,0.8862398426730852
